0,A3533961A,Current Prices ;  Total goods debits,$ Millions,Original,3
283,A3534732R,Implicit Price Deflators ;  Postal and courier transport,Index Numbers,Original,3
284,A3534733T,Implicit Price Deflators ;  Travel,Index Numbers,Original,3
285,A3534738C,Implicit Price Deflators ;  Other services,Index Numbers,Original,3
286,A3534945V,Implicit Price Deflators ;  Services,Index Numbers,Seasonally Adjusted,3
287,A3534946W,Implicit Price Deflators ;  Manufacturing services on physical inputs owned by others,Index Numbers,Seasonally Adjusted,3
288,A3534947X,Implicit Price Deflators ;  Maintenance and repair services n.i.e.,Index Numbers,Seasonally Adjusted,3
289,A3534948A,Implicit Price Deflators ;  Transport,Index Numbers,Seasonally Adjusted,3
290,A3534949C,Implicit Price Deflators ;  Passenger transport,Index Numbers,Seasonally Adjusted,3
291,A3534950L,Implicit Price Deflators ;  Freight transport,Index Numbers,Seasonally Adjusted,3
292,A3534951R,Implicit Price Deflators ;  Other transport,Index Numbers,Seasonally Adjusted,3
293,A3534952T,Implicit Price Deflators ;  Postal and courier transport,Index Numbers,Seasonally Adjusted,3
294,A3534953V,Implicit Price Deflators ;  Travel,Index Numbers,Seasonally Adjusted,3
295,A3534954W,Implicit Price Deflators ;  Other services,Index Numbers,Seasonally Adjusted,3
296,A3534014W,Current Prices ;  Services,$ Millions,Original,3
297,A3533936X,Current Prices ;  Manufacturing services on physical inputs owned by others,$ Millions,Original,3
298,A3533937A,Current Prices ;  Maintenance and repair services n.i.e.,$ Millions,Original,3
299,A3533860R,Current Prices ;  Transport,$ Millions,Original,3
300,A3534015X,Current Prices ;  Passenger transport,$ Millions,Original,3
301,A3533908R,Current Prices ;  Freight transport,$ Millions,Original,3
302,A3533968T,Current Prices ;  Other transport,$ Millions,Original,3
303,A3533938C,Current Prices ;  Postal and courier transport,$ Millions,Original,3
304,A3533889V,Current Prices ;  Travel,$ Millions,Original,3
305,A3533861T,Current Prices ;  Business travel,$ Millions,Original,3
306,A3533696X,Current Prices ;  Personal travel,$ Millions,Original,3
307,A3533739L,Current Prices ;  Education-related personal travel,$ Millions,Original,3
308,A3533890C,Current Prices ;  Other personal travel,$ Millions,Original,3
309,A3533796J,Current Prices ;  Construction,$ Millions,Original,3
310,A3533909T,Current Prices ;  Insurance and pension services,$ Millions,Original,3
311,A3534037L,Current Prices ;  Insurance and pension services - Direct insurance,$ Millions,Original,3
312,A3533797K,"Current Prices ;  Insurance and pension services - Direct insurance, Freight",$ Millions,Original,3
313,A3533910A,"Current Prices ;  Insurance and pension services - Direct insurance, Life",$ Millions,Original,3
314,A3533969V,"Current Prices ;  Insurance and pension services - Direct insurance, Other",$ Millions,Original,3
315,A3533939F,Current Prices ;  Insurance and pension services - Reinsurance,$ Millions,Original,3
316,A3533798L,Current Prices ;  Insurance and pension services - Auxiliary services,$ Millions,Original,3
317,A3533779F,Current Prices ;  Insurance and pension services - Pension services,$ Millions,Original,3
318,A3533697A,Current Prices ;  Insurance and pension services - Standardised guarantee services,$ Millions,Original,3
319,A3533940R,Current Prices ;  Financial services,$ Millions,Original,3
320,A3533941T,Current Prices ;  Financial services - Explicitly charged and other financial services,$ Millions,Original,3
321,A3533911C,Current Prices ;  Financial services - Financial Intermediation Services Indirectly Measured,$ Millions,Original,3
322,A3533912F,Current Prices ;  Charges for the use of intellectual property n.i.e.,$ Millions,Original,3
323,A3533839W,Current Prices ;  Charges for the use of intellectual property n.i.e. - Licences to reproduce and/or distribute computer services,$ Millions,Original,3
324,A3533740W,"Current Prices ;  Charges for the use of intellectual property n.i.e. - Licences to reproduce and/or distribute computer services, Software",$ Millions,Original,3
325,A3533762K,"Current Prices ;  Charges for the use of intellectual property n.i.e. - Licences to reproduce and/or distribute computer services, Hardware and design",$ Millions,Original,3
326,A3533942V,Current Prices ;  Charges for the use of intellectual property n.i.e. - Licences to reproduce and/or distribute audiovisual and related services,$ Millions,Original,3
327,A3533970C,Current Prices ;  Charges for the use of intellectual property n.i.e. - Outcomes of research and development,$ Millions,Original,3
328,A3533799R,Current Prices ;  Charges for the use of intellectual property n.i.e. - Franchise and trademarks licensing fees,$ Millions,Original,3
329,A3533822A,Current Prices ;  Charges for the use of intellectual property n.i.e. - Other charges,$ Millions,Original,3
330,A3533971F,"Current Prices ;  Charges for the use of intellectual property n.i.e. - Other charges, Royalties on education",$ Millions,Original,3
331,A3534016A,"Current Prices ;  Charges for the use of intellectual property n.i.e. - Other charges, Royalties on telecommunication services",$ Millions,Original,3
332,A3534038R,"Current Prices ;  Charges for the use of intellectual property n.i.e. - Other charges, Music",$ Millions,Original,3
333,A3533823C,"Current Prices ;  Charges for the use of intellectual property n.i.e. - Other charges, Other",$ Millions,Original,3
334,A3533943W,"Current Prices ;  Telecommunications, computer and information services",$ Millions,Original,3
335,A3533780R,"Current Prices ;  Telecommunications, computer and information services - Telecommunication",$ Millions,Original,3
336,A3533698C,"Current Prices ;  Telecommunications, computer and information services - Telecommunication, Telephone",$ Millions,Original,3
337,A3533800L,"Current Prices ;  Telecommunications, computer and information services - Telecommunication, Other",$ Millions,Original,3
338,A3533891F,"Current Prices ;  Telecommunications, computer and information services - Computer and information services",$ Millions,Original,3
339,A3533801R,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Computer",$ Millions,Original,3
340,A3533993V,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Computer, Hardware and software consultancy",$ Millions,Original,3
341,A3533994W,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Computer, Data processing",$ Millions,Original,3
342,A3533913J,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Information services",$ Millions,Original,3
343,A3533862V,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Information services, Database",$ Millions,Original,3
344,A3533914K,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Information services, Newsagency subscription",$ Millions,Original,3
345,A3533863W,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Other computer and information services",$ Millions,Original,3
346,A3533840F,Current Prices ;  Other business services,$ Millions,Original,3
347,A3533714T,Current Prices ;  Other business services - Research and development services,$ Millions,Original,3
348,A3533741X,Current Prices ;  Other business services - Professional and management consulting services,$ Millions,Original,3
349,A3533944X,"Current Prices ;  Other business services - Professional and management consulting services, Legal, accounting, management consulting, public relations and other professional services",$ Millions,Original,3
350,A3533841J,"Current Prices ;  Other business services - Professional and management consulting services, Legal, accounting, management consulting, public relations and other professional, Legal",$ Millions,Original,3
351,A3533945A,"Current Prices ;  Other business services - Professional and management consulting services, Legal, accounting, management consulting, public relations and other professional, Accounting and auditing",$ Millions,Original,3
352,A3533946C,"Current Prices ;  Other business services - Professional and management consulting services, Legal, accounting, management consulting, public relations and other professional, Business and management consultancy",$ Millions,Original,3
353,A3534017C,"Current Prices ;  Other business services - Professional and management consulting services, Legal, accounting, management consulting, public relations and other professional, Other professional services",$ Millions,Original,3
354,A3533915L,"Current Prices ;  Other business services - Professional and management consulting services, Legal, accounting, management consulting, public relations and other professional, Management fees n.i.e.",$ Millions,Original,3
355,A3533892J,"Current Prices ;  Other business services - Professional and management consulting services, Advertising, market research and public opinion polling services",$ Millions,Original,3
356,A3533916R,"Current Prices ;  Other business services - Technical, trade-related and other business services",$ Millions,Original,3
357,A3533699F,"Current Prices ;  Other business services - Technical, trade-related and other business services, Architectural, engineering and other technical services",$ Millions,Original,3
358,A3533842K,"Current Prices ;  Other business services - Technical, trade-related and other business services, Architectural, engineering and other technical services, Architectural",$ Millions,Original,3
359,A3533947F,"Current Prices ;  Other business services - Technical, trade-related and other business services, Architectural, engineering and other technical services, Engineering",$ Millions,Original,3
360,A3533995X,"Current Prices ;  Other business services - Technical, trade-related and other business services, Architectural, engineering and other technical services, Surveying services",$ Millions,Original,3
361,A3533742A,"Current Prices ;  Other business services - Technical, trade-related and other business services, Architectural, engineering and other technical services, Scientific and other technical services",$ Millions,Original,3
362,A3533715V,"Current Prices ;  Other business services - Technical, trade-related and other business services, Waste treatment and de-pollution, agricultural and mining services",$ Millions,Original,3
363,A3533917T,"Current Prices ;  Other business services - Technical, trade-related and other business services, Waste treatment and de-pollution, agricultural and mining services, Waste treatment and de-pollution",$ Millions,Original,3
364,A3533893K,"Current Prices ;  Other business services - Technical, trade-related and other business services, Waste treatment and de-pollution, agricultural and mining services, Incidental to agriculture; forestry and fishing",$ Millions,Original,3
365,A3534039T,"Current Prices ;  Other business services - Technical, trade-related and other business services, Waste treatment and de-pollution, agricultural and mining services, Incidental to mining; oil and gas extraction",$ Millions,Original,3
366,A3533843L,"Current Prices ;  Other business services - Technical, trade-related and other business services, Waste treatment and de-pollution, agricultural and mining services, Other on-site processing services",$ Millions,Original,3
367,A3533763L,"Current Prices ;  Other business services - Technical, trade-related and other business services, Operational leasing services",$ Millions,Original,3
368,A3534018F,"Current Prices ;  Other business services - Technical, trade-related and other business services, Operational leasing services, Air operational leasing services",$ Millions,Original,3
369,A3533972J,"Current Prices ;  Other business services - Technical, trade-related and other business services, Operational leasing services, Sea operational leasing services",$ Millions,Original,3
